1,Stadio Velate Rugby 1981 Asd
2,Stadio Asd Rugby Lainate 
3,Stadio Asd Rugby Cernusco  
4,Stadio Asd Rugby Bassa Bresciana Leno 
5,Stadio Seregno Rugby A R.L.
6,Stadio Cus Milano Rugby Asd
7,Stadio Asd Rugby Lecco 
8,Stadio Phoenix Rugby Asd 
9,Stadio Asd Rugby Bergamo 1950
10,Stadio Rugby Treviglio Asd 
11,Stadio Rugby Sondrio Soc.Coop.Dil. Arl 
12,Stadio Rugby Rho Asd  
13,Stadio Asd Rugby Valle Camonica Ssd 
14,Stadio Asd Rugby Del Chiese 
15,Stadio Casalmaggiore Rugby F.C. Asd 
16,Stadio Rugby Mantova Srl Ssd 
17,Stadio Asd Rugby Oltremella C.S.C.R. 
18,Stadio Asd Rugby Fiumicello 
19,Stadio Amatori&Union Rugby Milano Ssd Arl 
20,Stadio Amatori Tradate Rugby Club Asd
21,Stadio Milano Rugby Sud Asd
22,Stadio Asd Crema Rugby Club
23,Stadio Rugby Parabiago Ssd Srl
24,Stadio Transvecta Rugby Calvisano  
25,Stadio Promotica I Centurioni Rugby
26,Stadio Rugby Rovato Asd 
27,Stadio Amatori Verbania Rugby Asd 
28,Stadio C.U.S. Pavia Asd 
29,Stadio Rugby Desenzano 2006 Asd
30,Stadio Rugby San Donato 1981 Asd
31,Stadio Rugby Franciacorta Asd
32,Stadio Ad Rugby Como
33,Stadio Ftgi Lambro Rugby Asd
34,Bella Vittoria per i biancazzurri
